epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.2051,1.24442,2.15973,1.01088,0.42782,0.17995,0.17479,0.07493,1.49583,5.30702,1.72413,0.0687393,0.0016453,0.0016453
2,166.916,1.18427,1.56739,0.99805,0.28055,0.30895,0.2389,0.07917,1.55718,4.73466,1.66919,0.0370412,0.0032805,0.0032805
3,244.274,1.17269,1.50141,0.99541,0.38429,0.30127,0.32991,0.15002,1.3948,2.08186,1.36792,0.00531139,0.00488404,0.00488404
4,320.74,1.13648,1.42154,0.97984,0.3983,0.3247,0.35864,0.1407,1.46973,1.94919,1.40441,0.0048575,0.0048575,0.0048575
5,395.846,1.09059,1.32857,0.94912,0.33426,0.34322,0.35058,0.16411,1.35452,2.1135,1.34889,0.00481,0.00481,0.00481
6,471.835,1.05902,1.28135,0.92731,0.44105,0.40611,0.41946,0.17907,1.32828,1.92441,1.31533,0.0047625,0.0047625,0.0047625
7,546.023,1.02903,1.22819,0.92376,0.42437,0.42139,0.43284,0.23091,1.08642,1.46902,1.15989,0.004715,0.004715,0.004715
8,618.517,1.018,1.19652,0.904,0.41416,0.41651,0.43439,0.25045,1.01445,1.42992,1.08022,0.0046675,0.0046675,0.0046675
9,692.778,1.01703,1.18258,0.90155,0.47505,0.4107,0.4571,0.25961,1.03686,1.74803,1.09939,0.00462,0.00462,0.00462
10,766.787,0.98577,1.14958,0.88921,0.59396,0.42275,0.44384,0.24672,1.0433,1.5039,1.11743,0.0045725,0.0045725,0.0045725
11,839.929,0.98453,1.12653,0.87111,0.45437,0.45496,0.48088,0.27346,1.01273,1.33649,1.06356,0.004525,0.004525,0.004525
12,911.907,0.96052,1.10416,0.86883,0.47343,0.43444,0.4677,0.2514,1.097,1.27428,1.08982,0.0044775,0.0044775,0.0044775
13,983.115,0.96019,1.08162,0.87558,0.4438,0.43706,0.45646,0.26902,0.99569,1.30164,1.03821,0.00443,0.00443,0.00443
14,1054.74,0.96833,1.12115,0.88233,0.46744,0.44522,0.4814,0.27807,1.0513,1.49143,1.0754,0.0043825,0.0043825,0.0043825
15,1124.11,0.9381,1.07787,0.86114,0.49604,0.46555,0.49688,0.27405,1.06445,1.28001,1.07378,0.004335,0.004335,0.004335
16,1195.56,0.92303,1.03219,0.8526,0.68798,0.45297,0.49541,0.29762,0.96818,1.23004,1.02989,0.0042875,0.0042875,0.0042875
17,1266.77,0.90332,1.00847,0.8456,0.88571,0.46495,0.49367,0.2839,0.99997,1.25472,1.06826,0.00424,0.00424,0.00424
18,1339.97,0.93227,1.04258,0.8525,0.68625,0.43029,0.47717,0.28252,1.03905,1.26692,1.06668,0.0041925,0.0041925,0.0041925
19,1411.41,0.91856,0.9939,0.84487,0.67941,0.47548,0.49649,0.30815,0.92515,1.09714,1.01466,0.004145,0.004145,0.004145
20,1484.22,0.89897,0.98714,0.8372,0.66629,0.44877,0.47892,0.30507,0.92509,1.19071,1.01126,0.0040975,0.0040975,0.0040975
21,1556.73,0.89847,0.98734,0.83525,0.687,0.4663,0.50929,0.29196,1.09041,1.28194,1.15483,0.00405,0.00405,0.00405
22,1630,0.90936,0.9712,0.84084,0.71183,0.48149,0.55178,0.31239,1.04339,1.16607,1.06314,0.0040025,0.0040025,0.0040025
23,1702.76,0.87824,0.96165,0.82705,0.69246,0.47353,0.55099,0.33504,0.94999,1.11043,1.04085,0.003955,0.003955,0.003955
24,1775.38,0.87572,0.9479,0.8248,0.9035,0.47075,0.55675,0.32758,0.98348,1.1306,1.05163,0.0039075,0.0039075,0.0039075
25,1847.72,0.8605,0.93475,0.8189,0.70105,0.48429,0.53125,0.32442,0.93362,1.08055,1.00775,0.00386,0.00386,0.00386
26,1921.61,0.89072,0.95607,0.83348,0.92124,0.47733,0.59414,0.35378,0.90691,1.04604,0.98849,0.0038125,0.0038125,0.0038125
27,1996.09,0.87452,0.93694,0.82589,0.69834,0.46349,0.51209,0.28871,1.05625,1.16421,1.05615,0.003765,0.003765,0.003765
28,2069.35,0.86367,0.94312,0.82186,0.90366,0.49434,0.55702,0.3205,0.95894,1.03979,1.00799,0.0037175,0.0037175,0.0037175
29,2141.28,0.86563,0.9267,0.82572,0.72591,0.48126,0.57151,0.32819,0.96463,1.12103,1.03763,0.00367,0.00367,0.00367
30,2214.55,0.8668,0.92161,0.81828,0.70003,0.44852,0.57818,0.32962,0.97309,1.17068,1.01505,0.0036225,0.0036225,0.0036225
31,2287.63,0.86501,0.91755,0.81424,0.715,0.47988,0.56914,0.33356,0.96155,1.07185,0.98775,0.003575,0.003575,0.003575
32,2361.59,0.8426,0.94122,0.8158,0.73601,0.48319,0.56381,0.33466,0.96558,1.01356,1.02853,0.0035275,0.0035275,0.0035275
33,2435.59,0.82971,0.88621,0.79826,0.72585,0.49475,0.58338,0.3536,0.92857,1.33714,0.9981,0.00348,0.00348,0.00348
34,2508.62,0.82753,0.88628,0.80459,0.93283,0.48572,0.55962,0.35062,0.90438,1.04723,0.98184,0.0034325,0.0034325,0.0034325
35,2581,0.82778,0.92135,0.80748,0.58587,0.5877,0.60171,0.37094,0.88607,0.98911,0.94546,0.003385,0.003385,0.003385
36,2653.77,0.83036,0.86903,0.79958,0.93432,0.49811,0.60832,0.38322,0.91559,0.94541,0.95295,0.0033375,0.0033375,0.0033375
37,2726.92,0.82486,0.88721,0.8048,0.89484,0.56425,0.60139,0.35275,0.92701,1.00116,0.96743,0.00329,0.00329,0.00329
38,2799.5,0.81715,0.86764,0.80061,0.74117,0.49794,0.62381,0.37303,0.90726,0.95554,0.94906,0.0032425,0.0032425,0.0032425
39,2871.86,0.82154,0.84808,0.79688,0.71067,0.49845,0.5956,0.37342,0.84612,1.08253,0.93552,0.003195,0.003195,0.003195
40,2947.74,0.83408,0.86693,0.79781,0.9194,0.50434,0.64002,0.39897,0.85344,0.99659,0.93948,0.0031475,0.0031475,0.0031475
41,3022.71,0.84193,0.86886,0.80289,0.9397,0.51287,0.66823,0.40417,0.8632,0.93231,0.92549,0.0031,0.0031,0.0031
42,3097.03,0.81179,0.84046,0.78615,0.90924,0.56752,0.60515,0.36242,0.97558,0.94274,0.99471,0.0030525,0.0030525,0.0030525
43,3172.52,0.81983,0.85308,0.79548,0.94325,0.49724,0.83765,0.48751,0.82972,0.87197,0.92583,0.003005,0.003005,0.003005
44,3244.73,0.81793,0.85257,0.79346,0.93074,0.50261,0.70386,0.43391,0.8105,0.89472,0.90611,0.0029575,0.0029575,0.0029575
45,3317.44,0.80283,0.83936,0.78683,0.93615,0.50875,0.80368,0.44721,0.90432,0.96141,0.94374,0.00291,0.00291,0.00291
46,3390.66,0.79019,0.81592,0.78108,0.72579,0.50865,0.60611,0.40105,0.82251,0.92833,0.92554,0.0028625,0.0028625,0.0028625
47,3464.35,0.79876,0.8362,0.78984,0.93955,0.49485,0.80074,0.48463,0.83201,0.92849,0.92775,0.002815,0.002815,0.002815
48,3535.46,0.79669,0.83397,0.79522,0.8745,0.54788,0.70477,0.43023,0.84381,0.91233,0.91771,0.0027675,0.0027675,0.0027675
49,3608.25,0.78961,0.81025,0.77901,0.94849,0.50433,0.61152,0.35901,0.89437,0.99597,0.93665,0.00272,0.00272,0.00272
50,3683.6,0.79661,0.81073,0.78121,0.9248,0.51215,0.64238,0.37571,0.88874,0.92206,0.94114,0.0026725,0.0026725,0.0026725
51,3756.41,0.7869,0.80851,0.78727,0.77748,0.60502,0.71006,0.42265,0.87613,0.89398,0.92322,0.002625,0.002625,0.002625
52,3829.36,0.7648,0.79158,0.76967,0.94207,0.5072,0.60813,0.3978,0.77775,0.87166,0.88532,0.0025775,0.0025775,0.0025775
53,3903.55,0.7918,0.81795,0.78408,0.79657,0.60852,0.82045,0.46644,0.82274,0.85943,0.91532,0.00253,0.00253,0.00253
54,3975.49,0.76403,0.78755,0.76708,0.94194,0.50928,0.70763,0.40288,0.84187,0.89506,0.90764,0.0024825,0.0024825,0.0024825
55,4047.51,0.76622,0.7866,0.77095,0.93163,0.50115,0.59443,0.3805,0.84354,0.89738,0.92618,0.002435,0.002435,0.002435
56,4119.6,0.75041,0.75952,0.75627,0.90046,0.57183,0.66786,0.40712,0.82479,0.87131,0.90428,0.0023875,0.0023875,0.0023875
57,4192.74,0.77006,0.79539,0.77543,0.93824,0.50549,0.81325,0.47308,0.79076,0.86032,0.88351,0.00234,0.00234,0.00234
58,4265.34,0.76397,0.77393,0.76638,0.91014,0.56373,0.72023,0.45287,0.74551,0.85732,0.8614,0.0022925,0.0022925,0.0022925
59,4336.91,0.75894,0.76217,0.75755,0.92229,0.55161,0.63939,0.44078,0.75054,0.82556,0.86851,0.002245,0.002245,0.002245
60,4409.31,0.762,0.77662,0.75925,0.92034,0.5505,0.63178,0.4086,0.83307,0.81729,0.90642,0.0021975,0.0021975,0.0021975
61,4482.73,0.77541,0.78268,0.7731,0.81925,0.61838,0.62119,0.41107,0.8028,0.86591,0.89549,0.00215,0.00215,0.00215
62,4555.61,0.75688,0.77037,0.7619,0.81147,0.5975,0.62232,0.41525,0.79588,0.82697,0.89058,0.0021025,0.0021025,0.0021025
63,4627.91,0.76267,0.76264,0.76244,0.92425,0.56634,0.65693,0.43029,0.80416,0.83354,0.87996,0.002055,0.002055,0.002055
64,4700.72,0.74326,0.75497,0.75634,0.88025,0.60121,0.82389,0.43599,0.79197,0.85475,0.87711,0.0020075,0.0020075,0.0020075
65,4771.52,0.74923,0.75282,0.75626,0.89986,0.58188,0.81923,0.48001,0.83396,0.85709,0.90658,0.00196,0.00196,0.00196
66,4844.84,0.75493,0.7596,0.76057,0.85121,0.60946,0.81166,0.43335,0.74922,0.79454,0.87326,0.0019125,0.0019125,0.0019125
67,4916.13,0.73815,0.75067,0.75727,0.67412,0.84716,0.81168,0.4716,0.792,0.78147,0.88765,0.001865,0.001865,0.001865
68,4987.97,0.72545,0.73635,0.7527,0.63128,0.84869,0.8276,0.4969,0.73106,0.77837,0.85242,0.0018175,0.0018175,0.0018175
69,5058.96,0.73738,0.74688,0.75725,0.91729,0.60027,0.65055,0.43493,0.77687,0.77942,0.87076,0.00177,0.00177,0.00177
70,5131.42,0.73114,0.73792,0.75378,0.92662,0.60892,0.64044,0.4332,0.75517,0.79593,0.86104,0.0017225,0.0017225,0.0017225
71,5202.57,0.72904,0.72844,0.74891,0.83301,0.61438,0.63175,0.43313,0.83363,0.81131,0.90994,0.001675,0.001675,0.001675
72,5274.33,0.73829,0.7465,0.75424,0.9176,0.59651,0.63209,0.43436,0.76795,0.76953,0.86327,0.0016275,0.0016275,0.0016275
73,5346.23,0.72494,0.72434,0.75429,0.93412,0.5692,0.65243,0.44134,0.7643,0.81469,0.85846,0.00158,0.00158,0.00158
74,5417.31,0.74983,0.75574,0.76524,0.87771,0.60436,0.83306,0.47299,0.80253,0.77662,0.88682,0.0015325,0.0015325,0.0015325
75,5488.08,0.72925,0.73349,0.74981,0.72267,0.83746,0.83451,0.49508,0.76852,0.74544,0.89192,0.001485,0.001485,0.001485
76,5560.1,0.71164,0.69814,0.7397,0.93429,0.59648,0.70712,0.44742,0.80662,0.74752,0.89637,0.0014375,0.0014375,0.0014375
77,5631.8,0.72263,0.72991,0.75301,0.936,0.60261,0.70268,0.45831,0.77874,0.76399,0.87482,0.00139,0.00139,0.00139
78,5703.26,0.70181,0.71031,0.74238,0.9054,0.60498,0.74292,0.48441,0.74307,0.71484,0.8527,0.0013425,0.0013425,0.0013425
79,5775.74,0.72727,0.72537,0.75097,0.77339,0.84081,0.83828,0.5079,0.76502,0.73589,0.86554,0.001295,0.001295,0.001295
80,5849.51,0.71892,0.71392,0.74984,0.6871,0.84273,0.83848,0.50152,0.7774,0.72146,0.87199,0.0012475,0.0012475,0.0012475
81,5923.89,0.70662,0.70315,0.74387,0.68635,0.8459,0.83911,0.50445,0.75932,0.73926,0.85793,0.0012,0.0012,0.0012
82,5997.76,0.7025,0.69168,0.73608,0.94578,0.59548,0.83523,0.51821,0.72181,0.75171,0.84667,0.0011525,0.0011525,0.0011525
83,6071.54,0.69612,0.69067,0.73391,0.9514,0.59667,0.65206,0.45087,0.72423,0.72538,0.84299,0.001105,0.001105,0.001105
84,6143.65,0.70289,0.69244,0.7414,0.93935,0.6095,0.6534,0.45312,0.72354,0.7514,0.84391,0.0010575,0.0010575,0.0010575
85,6215.51,0.70821,0.70065,0.74137,0.94341,0.6077,0.83674,0.51372,0.70835,0.72973,0.84503,0.00101,0.00101,0.00101
86,6287.41,0.69402,0.69157,0.73366,0.61583,0.79155,0.74077,0.47225,0.72723,0.73377,0.84472,0.0009625,0.0009625,0.0009625
87,6359.26,0.70015,0.69364,0.73133,0.65659,0.84627,0.84076,0.50871,0.74942,0.71844,0.84933,0.000915,0.000915,0.000915
88,6431.8,0.69113,0.68646,0.73606,0.93617,0.61957,0.8393,0.48687,0.71214,0.7065,0.83699,0.0008675,0.0008675,0.0008675
89,6505.75,0.70061,0.68484,0.73087,0.92171,0.61689,0.83956,0.51221,0.72485,0.71422,0.84298,0.00082,0.00082,0.00082
90,6577.55,0.6971,0.68616,0.73397,0.73886,0.83855,0.83697,0.4955,0.72248,0.73859,0.8408,0.0007725,0.0007725,0.0007725
91,6619.48,0.59947,0.56401,0.71036,0.94197,0.60665,0.73883,0.48621,0.73992,0.73351,0.85095,0.000725,0.000725,0.000725
92,6659.41,0.58631,0.52865,0.69571,0.94448,0.60933,0.66017,0.45724,0.72198,0.6968,0.84674,0.0006775,0.0006775,0.0006775
93,6700.44,0.58544,0.52702,0.70153,0.94276,0.60409,0.66007,0.46239,0.70289,0.71096,0.83803,0.00063,0.00063,0.00063
94,6741.4,0.56568,0.51269,0.69089,0.94894,0.60297,0.66167,0.46117,0.70635,0.69551,0.83241,0.0005825,0.0005825,0.0005825
95,6782.09,0.56829,0.50971,0.69408,0.94395,0.615,0.65312,0.46198,0.6896,0.70391,0.82527,0.000535,0.000535,0.000535
96,6822.19,0.57236,0.50758,0.68572,0.93897,0.60697,0.65095,0.45847,0.72253,0.68263,0.83771,0.0004875,0.0004875,0.0004875
97,6861.44,0.56018,0.49598,0.68694,0.92772,0.61646,0.65255,0.46519,0.68976,0.68298,0.82636,0.00044,0.00044,0.00044
98,6900.57,0.55239,0.49756,0.68411,0.79269,0.83888,0.84374,0.48325,0.69964,0.66313,0.82794,0.0003925,0.0003925,0.0003925
99,6940.47,0.55084,0.48726,0.68707,0.9548,0.6145,0.65755,0.4632,0.72464,0.67172,0.83309,0.000345,0.000345,0.000345
100,6981.83,0.55375,0.48804,0.67941,0.9475,0.61846,0.65841,0.46867,0.70308,0.66343,0.83405,0.0002975,0.0002975,0.0002975
